ingredient_id,ingredient_name,shop_id,shop_name,short_name,short_desc,sprite_key,display_order,is_active,source_doc,source_section
coffee-beans,咖啡豆,ice-room,零点冰室,冰室,极度的清醒，用来切断深夜谎言。,ing_coffee_beans,1,true,0424.md,附录四：18种核心食材短介绍
evaporated-milk,黑白淡奶,ice-room,零点冰室,冰室,温柔的假面，掩盖了生活苦底。,ing_evaporated_milk,2,true,0424.md,附录四：18种核心食材短介绍
strong-tea,浓茶,ice-room,零点冰室,冰室,经过八次撞击，锁住陈年苦涩。,ing_strong_tea,3,true,0424.md,附录四：18种核心食材短介绍
lemon-slice,柠檬片,ice-room,零点冰室,冰室,尖刻的酸，给真相加一点锋芒。,ing_lemon_slice,4,true,0424.md,附录四：18种核心食材短介绍
pineapple-bun-base,菠萝包底,ice-room,零点冰室,冰室,甜美酥脆，是面具最好的外壳。,ing_pineapple_bun_base,5,true,0424.md,附录四：18种核心食材短介绍
butter,黄油,ice-room,零点冰室,冰室,厚重危险，让安稳跳进黏腻里。,ing_butter,6,true,0424.md,附录四：18种核心食材短介绍
rice-roll,肠粉,street-stall,霓虹大排档,大排档,洁白单调，空虚需要苍白来填。,ing_rice_roll,1,true,0424.md,附录四：18种核心食材短介绍
curry-sauce,咖喱酱,street-stall,霓虹大排档,大排档,浓稠脏酱汁，让平凡瞬间堕落。,ing_curry_sauce,2,true,0424.md,附录四：18种核心食材短介绍
thick-noodles,粗面,street-stall,霓虹大排档,大排档,基础碳水，是机械续命的链条。,ing_thick_noodles,3,true,0424.md,附录四：18种核心食材短介绍
fish-ball,鱼蛋,street-stall,霓虹大排档,大排档,没脑子的肉球，意义由你自己加。,ing_fish_ball,4,true,0424.md,附录四：18种核心食材短介绍
beef-brisket,牛腩,street-stall,霓虹大排档,大排档,难嚼的油脂，负重前行的代价。,ing_beef_brisket,5,true,0424.md,附录四：18种核心食材短介绍
radish,萝卜,street-stall,霓虹大排档,大排档,吸油的根茎，卑微地吸附着欲望。,ing_radish,6,true,0424.md,附录四：18种核心食材短介绍
tangyuan,汤圆,dessert-station,失眠甜品站,甜品站,假装圆满，包裹着黏糊糊的拥抱。,ing_tangyuan,1,true,0424.md,附录四：18种核心食材短介绍
ginger-juice,姜汁,dessert-station,失眠甜品站,甜品站,滚烫辛辣，让眼眶发热的冲撞。,ing_ginger_juice,2,true,0424.md,附录四：18种核心食材短介绍
mango,芒果,dessert-station,失眠甜品站,甜品站,金色香气，熟透到腐烂的美梦。,ing_mango,3,true,0424.md,附录四：18种核心食材短介绍
coconut-milk,椰浆,dessert-station,失眠甜品站,甜品站,纯白海洋，溺死在醇厚柔情里。,ing_coconut_milk,4,true,0424.md,附录四：18种核心食材短介绍
pomelo,柚子,dessert-station,失眠甜品站,甜品站,苦涩外皮，剥开后才见酸楚心。,ing_pomelo,5,true,0424.md,附录四：18种核心食材短介绍
sago,西米,dessert-station,失眠甜品站,甜品站,透明碎片，孤独需要它们作伴。,ing_sago,6,true,0424.md,附录四：18种核心食材短介绍
