issue_id,canonical_title,level1_category,level2_category,category_source,needs_manual_taxonomy,notes
Q01,Deadline 任务过载,职场与学业,绩效焦虑,0424_example_partial,false,0424 card selection gives example Q01 under 职场与学业/绩效焦虑
Q02,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q03,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q04,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q05,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q06,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q07,对性格短板的怀疑,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q08,报复性熬夜,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q09,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q10,此时此刻的嫉妒心,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q11,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q12,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q13,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q14,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q15,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q16,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q17,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q18,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q19,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q20,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q21,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q22,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q23,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q24,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q25,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q26,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q27,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q28,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q29,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q30,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q31,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q32,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q33,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q34,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q35,倒霉透顶求转机,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q36,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q37,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q38,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q39,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
Q40,,,,not_provided_in_md_except_Q01_example,true,No canonical taxonomy mapping in 0421/0424 md
