slip_id,text,weight,is_default_fallback,source_doc,source_section
nonsense-01,今日运势：大凶。建议不要试图去抓红外线光点，那是虚无的。,1,false,0424.md,附录二：废话签
nonsense-02,不要因为内耗而熬夜。实在睡不着，建议你把桌子上的玻璃杯推到地上去，听个响。,1,false,0424.md,附录二：废话签
nonsense-03,你以为你在思考人生，其实你只是需要一个纸箱子。,1,false,0424.md,附录二：废话签
nonsense-04,根据猫体力学，你现在的姿势是错误的。请立刻躺平，缩成一团，然后打一个哈欠。什么？你不是猫？那关我什么事。,1,false,0424.md,附录二：废话签
nonsense-05,成功秘诀：每天舔自己的毛100次。如果你没毛，就去买一顶假发。舔完你会觉得自己很成功，虽然别人觉得你疯了。,1,false,0424.md,附录二：废话签
nonsense-06,研究发现，99%的猫咪认为自己的铲屎官是智障。你是那1%吗？不是，因为猫咪不会做研究。,1,false,0424.md,附录二：废话签
nonsense-07,如果你觉得孤独，试着把手机从高处推下去。它会‘啪’一声，然后你就有了新手机要买——再也不孤独了。,1,false,0424.md,附录二：废话签
nonsense-08,人生的意义是什么？是追自己的尾巴。永远追不到，但很快乐。所以别问了，去追吧。,1,false,0424.md,附录二：废话签
nonsense-09,今天的幸运物是：你刚刚扔掉的纸团。快去捡回来，它现在是你的导师。它会教你‘如何被揉成一团依然保持优雅’。,1,false,0424.md,附录二：废话签
nonsense-10,如何解决拖延症？明天告诉你。哦不对，后天？算了，等我想起来再说。反正你也不急，对吧？,1,false,0424.md,附录二：废话签
nonsense-11,不要相信任何告诉你‘猫有九条命’的人。因为我只用了三条就验证出：从柜子上摔下来还是会痛。,1,false,0424.md,附录二：废话签
nonsense-12,你的问题太深奥了，我建议你先把家里所有纸箱子叠成一个塔，然后站在上面思考。摔下来那一刻你就顿悟了——‘原来我不该站着’。,1,false,0424.md,附录二：废话签
nonsense-13,人类总是想太多。猫生哲学：有罐头就行，没有就抢。你的问题同理：有答案就行，没有就编一个。,1,false,0424.md,附录二：废话签
nonsense-14,你刚刚浪费了5秒钟读这条签。而猫咪用这5秒钟打翻了一个水杯。看，谁更有生产效率？,1,false,0424.md,附录二：废话签
nonsense-15,晚上睡不着的时候，不要数羊。数你曾经打翻过的水杯数量——那才是真正的成就感。,1,false,0424.md,附录二：废话签
default-fallback,猫咪打了个哈欠，你什么也没得到。,0,true,0424.md,占卜反馈：半成功 / 不成功 - 边界情况
